mode,q_mode,cl,SDSS9,m_SDSS9,objID,Sp-ID,RA_ICRS,DE_ICRS,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,pmRA,pmDE,f_zsp
1,+,3,"J023122.65-025409.1",,1237678888526151876,"4344-55557-0224",37.844412,-2.902546,2008.8333,3,20.305,0.133,18.293,0.011,16.917,0.006,16.418,0.006,16.033,0.012,0.24021,7,2,0
1,+,3,"J022945.40-030758.1",,1237679255746511032,"4344-55557-0286",37.439193,-3.132818,2008.9753,3,22.827,0.793,20.568,0.04,18.948,0.017,18.328,0.015,18.037,0.037,0.31595,1,-8,0
1,+,3,"J023001.14-030435.3",,1237679255746577190,"4344-55557-0295",37.504763,-3.076481,2008.9753,3,25.283,1.683,22.892,0.279,21.089,0.097,19.997,0.055,19.321,0.108,0.56622,,,4
1,+,3,"J022948.87-030049.2",,1237679255746576703,"4344-55557-0287",37.453658,-3.013676,2008.9753,3,23.124,1.142,22.226,0.187,20.864,0.096,19.616,0.048,19.034,0.1,0.56823,,,0
1,+,3,"J022941.67-030140.2",,1237679255746511072,"4344-55557-0339",37.423626,-3.027836,2008.9753,3,24.611,1.998,22.183,0.15,20.575,0.064,19.539,0.038,19.064,0.086,0.5706,,,0
1,+,3,"J022952.94-025857.0",,1237679255746576531,"4344-55557-0300",37.470613,-2.982502,2008.9753,3,22.064,0.404,20.439,0.036,18.856,0.016,18.225,0.014,17.875,0.033,0.30754,-4,-4,0
1,+,3,"J022928.49-030116.1",,1237679255746511358,"4344-55557-0337",37.368723,-3.021163,2008.9753,3,24.118,1.703,21.525,0.079,19.958,0.035,19.18,0.026,18.689,0.059,0.42798,-15,-11,0
1,+,3,"J022919.06-030048.6",,1237679255746510991,"4344-55557-0334",37.329422,-3.013508,2008.9753,3,23.409,1.232,20.482,0.036,18.907,0.016,18.273,0.014,17.925,0.034,0.30687,-11,6,0
1,+,6,"J022934.40-030055.4",,1237679255746511427,"4344-55557-0340",37.39336,-3.01541,2008.9753,3,22.531,0.379,21.835,0.071,21.861,0.13,21.939,0.201,21.43,0.416,0.39009,,,4
1,+,6,"J022951.66-025712.4",,1237678879426412859,"4344-55557-0298",37.465289,-2.953471,2008.8306,3,22.535,0.43,21.541,0.068,21.545,0.105,21.498,0.142,21.032,0.397,1.79981,,,4
1,+,3,"J022958.87-025618.0",,1237678888526021139,"4344-55557-0268",37.495317,-2.938336,2008.8333,3,23.168,1.394,21.605,0.145,20.472,0.09,19.483,0.056,19.451,0.2,0.73439,,,0
1,,3,"J023028.58-025616.8",,1237678888526086676,"4344-55557-0257",37.619102,-2.938008,2008.8333,3,24.435,1.734,21.747,0.094,20.236,0.044,19.461,0.033,18.785,0.066,0.36787,,,0
1,+,3,"J023033.64-025537.4",,1237678888526086733,"4344-55557-0263",37.640192,-2.927066,2008.8333,3,26.487,0.624,22.272,0.152,20.673,0.066,19.714,0.042,18.963,0.081,0.58591,,,0
1,+,3,"J023056.43-025255.8",,1237678888526151899,"4344-55557-0225",37.735149,-2.882181,2008.8333,3,22.049,0.439,19.338,0.018,17.918,0.01,17.408,0.009,17.079,0.021,0.23952,1,0,0
1,+,6,"J023041.35-025138.0",,1237678888526086299,"4344-55557-0234",37.672313,-2.860572,2008.8333,3,23.357,0.648,21.255,0.042,20.883,0.046,20.848,0.063,20.552,0.182,1.5E-4,-41,43,0
1,+,3,"J023019.76-025059.5",,1237678888526086564,"4344-55557-0265",37.582359,-2.849866,2008.8333,3,25.587,1.404,22.905,0.296,20.984,0.098,20.021,0.061,19.661,0.167,0.55971,,,0
1,+,3,"J022955.76-025107.1",,1237678888526021418,"4344-55557-0267",37.482356,-2.851993,2008.8333,3,26.61,1.078,23.024,0.568,20.563,0.115,19.401,0.061,18.58,0.108,0.79153,,,0
1,+,3,"J023020.39-024641.8",,1237678888526086583,"4344-55557-0261",37.584974,-2.778286,2008.8333,3,24.281,1.849,22.219,0.156,20.437,0.056,19.603,0.041,19.146,0.098,0.45916,,,0
1,+,3,"J023147.57-025652.4",,1237679255746773388,"4344-55557-0171",37.948248,-2.947915,2008.9753,3,25.473,2.181,21.241,0.092,20.167,0.057,19.331,0.043,18.947,0.109,0.5645,,,0
1,+,3,"J023209.83-025517.3",,1237678888526283136,"4344-55557-0179",38.040975,-2.921497,2008.8333,3,22.059,0.449,22.107,0.169,20.79,0.095,19.606,0.05,18.952,0.1,0.78029,,,0
1,+,3,"J023222.03-025138.2",,1237678888526283289,"4344-55557-0157",38.091802,-2.860632,2008.8333,3,22.302,0.417,22.035,0.121,20.663,0.065,19.915,0.051,19.502,0.125,0.49822,,,0
1,+,6,"J023214.86-024845.4",,1237678888526282839,"4344-55557-0186",38.061936,-2.812627,2008.8333,3,20.715,0.075,19.957,0.017,19.507,0.017,19.555,0.023,19.135,0.052,0.78518,5,-2,0
1,+,3,"J023223.32-024748.5",,1237678888526283312,"4344-55557-0155",38.097184,-2.79683,2008.8333,3,23.466,1.314,22.004,0.144,20.44,0.066,19.439,0.041,18.861,0.088,0.59986,,,0
1,+,3,"J023135.29-025322.5",,1237678888526217509,"4344-55557-0183",37.897044,-2.8896,2008.8333,3,22.933,0.6,21.658,0.074,20.315,0.04,19.515,0.03,18.919,0.062,0.55102,-12,14,0
1,+,3,"J023133.61-025117.4",,1237678888526217960,"4344-55557-0187",37.89004,-2.854837,2008.8333,3,26.143,0.647,23.339,0.295,21.469,0.104,20.057,0.045,19.422,0.092,0.7383,,,0
1,+,3,"J023223.57-024532.2",,1237678888526283316,"4344-55557-0159",38.098223,-2.758952,2008.8333,3,22.021,0.491,21.532,0.128,20.422,0.082,19.608,0.061,19.059,0.134,0.60062,,,0
1,+,3,"J023227.79-024445.4",,1237678888526282926,"4344-55557-0158",38.115814,-2.745969,2008.8333,3,22.114,0.833,19.174,0.024,17.802,0.013,17.269,0.012,16.945,0.031,0.26205,4,3,0
