OzDES,RAJ2000,DEJ2000,z,Flag,types
"OzDES_000376",55.240583,-26.897917,0.758,4,"Photo-z"
"OzDES_006836",55.213625,-26.860333,0.17442,4,"BrightGalaxy"
"OzDES_006832",55.136042,-26.886278,4.4E-4,4,"AGN_reverberation"
"OzDES_006837",55.1235,-26.855833,3.0E-4,6,"BrightGalaxy"
"OzDES_006842",55.218333,-26.810028,0.2475,3,"BrightGalaxy"
"OzDES_006843",55.1795,-26.817111,0.13169,4,"BrightGalaxy"
"OzDES_006839",55.301333,-26.837111,0.13105,4,"BrightGalaxy"
"OzDES_002405",55.276208,-26.826056,7.0E-5,6,"FStar"
"OzDES_006847",55.28775,-26.796417,0.17409,4,"BrightGalaxy"
"OzDES_006838",55.132958,-26.83275,0.13136,4,"BrightGalaxy"
"OzDES_000374",55.071208,-26.810111,0.13156,4,"Photo-z"
"OzDES_006846",55.085292,-26.778722,0.10497,4,"BrightGalaxy"
"OzDES_000336",55.2095,-26.75725,0.53213,4,"Photo-z"
"OzDES_002404",55.220583,-26.752556,1.8E-4,6,"FStar"
"OzDES_000338",55.245,-26.664556,0.37648,4,"Photo-z"
"OzDES_010431",55.14775,-26.677361,0.19841,4,"LRG"
"OzDES_000335",55.161208,-26.679333,0.19779,4,"Photo-z"
"OzDES_010427",55.202208,-26.684722,-6.0E-5,6,"AGN_reverberation"
"OzDES_000337",55.219625,-26.668917,0.36423,4,"Photo-z"
"OzDES_010434",55.227333,-26.661694,0.08476,3,"BrightGalaxy"
"OzDES_010429",55.275958,-26.685028,0.71116,3,"ClusterGalaxy"
"OzDES_010437",55.301417,-26.647472,-1.0E-5,6,"AGN_monitoring"
"OzDES_010436",55.255292,-26.655722,0.1324,3,"BrightGalaxy"
"OzDES_010441",55.292083,-26.62725,0.75892,3,"LRG"
"OzDES_010439",55.2695,-26.631444,1.06642,4,"AGN_monitoring"
"OzDES_010443",55.24325,-26.617111,0.61558,3,"LRG"
"OzDES_010444",55.207625,-26.61,0.24658,4,"BrightGalaxy"
"OzDES_010428",54.99275,-26.685056,0.53313,3,"RedMaGiC"
"OzDES_010426",54.964375,-26.6975,0.173,4,"BrightGalaxy"
"OzDES_010433",55.014583,-26.668528,0.10926,4,"BrightGalaxy"
"OzDES_010435",55.130417,-26.652417,0.60626,3,"LRG"
"OzDES_000334",55.127458,-26.646278,0.45391,4,"Photo-z"
"OzDES_010442",55.068875,-26.630611,0.14686,3,"BrightGalaxy"
