Num,Name,RAJ2000,DEJ2000,z,f_z,imag,UmagC,e_UmagC,BmagC,e_BmagC,VmagC,e_VmagC,RmagC,e_RmagC,ImagC,e_ImagC
24285,"VVDS-J033200.93-274842.0",53.0038958,-27.8116934,0.5326,4,22.7401,24.0297,0.048,23.213,0.0403,23.2383,0.0544,22.7496,0.0323,22.7401,0.0599
24481,"VVDS-J033158.75-274836.5",52.994798,-27.8101553,0.9881,9,23.2425,25.21,0.1072,24.6554,0.0859,24.9278,0.1238,23.6436,0.0937,23.2425,0.086
70696,"VVDS-J033202.65-274828.1",53.0110542,-27.8078306,0.49,2,22.9396,27.0095,,25.7459,0.1532,24.43,0.0948,23.4689,0.0448,22.9396,0.0516
24524,"VVDS-J033201.93-274832.1",53.0080827,-27.8089364,0.7737,3,22.2192,23.8332,0.0371,23.2639,0.0322,23.0412,0.0471,22.6291,0.0281,22.2192,0.0335
113409,"VVDS-J033202.55-274806.4",53.0106522,-27.80178,9.9999,0,23.7656,27.0095,,27.3138,,25.9514,,26.1283,,23.7656,0.0972
25029,"VVDS-J033202.44-274809.2",53.0101698,-27.8025725,0.3629,2,22.7073,24.7199,0.0781,23.8831,0.0544,23.374,0.0522,22.776,0.0311,22.7073,0.0483
24459,"VVDS-J033158.12-274834.1",52.9921677,-27.8094915,0.7349,3,21.1009,24.2801,0.0609,23.6447,0.0475,22.8522,0.0429,22.1353,0.02,21.1009,0.0147
25114,"VVDS-J033156.99-274803.4",52.9874597,-27.8009655,1.0167,3,23.5962,25.3601,0.1012,24.3499,0.0834,24.3411,0.0973,24.0346,0.0908,23.5962,0.0856
71325,"VVDS-J033158.80-274742.3",52.9950063,-27.7951029,9.9999,0,23.8064,27.0095,,26.3154,0.1553,25.5827,0.2204,24.4655,0.1135,23.8064,0.1452
26187,"VVDS-J033159.54-274707.4",52.9981134,-27.7853985,9.9999,0,23.4016,24.4283,0.0564,23.6282,0.0292,23.5125,0.075,23.8212,0.0697,23.4016,0.1046
101859,"VVDS-J033208.55-274911.0",53.0356501,-27.819737,1.371,2,23.6168,27.0095,,27.3138,,25.9514,,25.3044,0.139,23.6168,0.0817
24508,"VVDS-J033209.39-274834.3",53.039128,-27.8095322,1.2107,2,23.429,24.3956,0.0584,24.0853,0.0549,23.917,0.0785,23.6628,0.0533,23.429,0.0773
24473,"VVDS-J033212.98-274836.5",53.0541011,-27.8101642,9.9999,0,23.802,25.1186,0.1142,24.3459,0.0757,24.009,0.0767,23.503,0.0553,23.802,0.0971
24431,"VVDS-J033212.38-274835.8",53.0516223,-27.8099624,0.5621,3,21.684,24.0719,0.0489,23.1909,0.032,22.7898,0.0391,22.1034,0.0196,21.684,0.0224
102155,"VVDS-J033214.93-274815.8",53.06221,-27.8043927,0.6662,2,23.6983,27.0095,,27.3138,,25.9514,,23.9461,0.1005,23.6983,0.1144
70849,"VVDS-J033214.68-274815.7",53.0611962,-27.8043617,9.9999,20,24.1368,27.0095,,25.2414,0.1651,24.6828,0.2048,24.4569,0.1079,24.1368,0.1258
24827,"VVDS-J033210.27-274819.6",53.0427964,-27.8054624,0.6085,3,22.1208,24.4385,0.0579,23.4866,0.0391,23.3335,0.0515,22.3857,0.0229,22.1208,0.0287
25324,"VVDS-J033213.17-274754.9",53.0548839,-27.7985876,0.8715,9,23.0576,25.2282,0.0851,24.417,0.0576,23.9446,0.0704,23.2137,0.0426,23.0576,0.0605
25313,"VVDS-J033212.53-274753.8",53.0522374,-27.798293,0.3318,3,22.4595,24.4257,0.0513,23.4569,0.0284,22.9664,0.0354,22.5524,0.0236,22.4595,0.0345
102017,"VVDS-J033207.89-274841.0",53.0329016,-27.8114005,0.836,9,23.8599,27.0095,,27.3138,,25.9514,,24.0692,0.1141,23.8599,0.1538
24576,"VVDS-J033208.68-274830.0",53.0362009,-27.8083588,0.3305,4,23.026,24.4232,0.064,23.8301,0.0471,23.136,0.0448,22.7916,0.032,23.026,0.0572
24834,"VVDS-J033207.24-274822.1",53.0301698,-27.8061665,0.5605,4,23.7973,25.4012,0.0926,24.6712,0.0779,24.2835,0.1052,23.6478,0.0489,23.7973,0.0904
25432,"VVDS-J033210.96-274746.0",53.0456774,-27.7961261,1.186,3,22.9433,23.7381,0.0375,23.2039,0.0276,23.2196,0.0542,23.1274,0.045,22.9433,0.0702
26098,"VVDS-J033210.67-274713.7",53.0444652,-27.7871583,0.5781,3,22.3523,24.3599,0.0548,23.5778,0.025,23.4359,0.0642,22.6232,0.0332,22.3523,0.05
25411,"VVDS-J033216.51-274745.3",53.068831,-27.7959434,0.7286,3,23.7492,24.8388,0.0889,24.1567,0.0574,24.2832,0.1008,23.9149,0.0632,23.7492,0.0899
25401,"VVDS-J033214.11-274751.3",53.0588077,-27.7976039,0.9973,2,23.806,25.0029,0.0855,24.5411,0.0622,24.1523,0.0975,24.037,0.0786,23.806,0.1022
25643,"VVDS-J033213.20-274738.4",53.0550245,-27.7940225,0.5311,3,23.6127,24.8406,0.0709,24.2404,0.0466,24.1008,0.0886,23.2113,0.0459,23.6127,0.0802
26218,"VVDS-J033215.80-274713.6",53.0658724,-27.7871225,0.7375,4,20.5366,25.8131,0.1365,24.0508,0.0392,22.8732,0.0481,21.8139,0.0181,20.5366,0.0116
93394,"VVDS-J033217.76-274715.0",53.0740246,-27.7875271,0.7313,3,20.8571,27.0095,,27.3138,,23.673,0.09,22.1702,0.0357,20.8571,0.0224
26721,"VVDS-J033218.60-274648.9",53.0775125,-27.7802553,0.7442,3,22.99,25.7738,0.1414,24.9344,0.0575,25.1992,0.1588,23.7513,0.066,22.99,0.0658
26734,"VVDS-J033211.42-274650.2",53.0475995,-27.7806235,0.5772,4,21.3991,25.8422,0.1192,23.8731,0.0327,23.1241,0.0509,22.1643,0.0215,21.3991,0.0212
72964,"VVDS-J033214.44-274624.5",53.0601921,-27.7734898,0.7339,3,21.7637,27.0095,,25.4155,0.0742,24.2283,0.0795,23.0547,0.0321,21.7637,0.0238
