recno,SeqNum,Name,UKST,RAJ2000,DEJ2000,Bjmag,Bjsel,z,q_z,n_z,SNR
73233,104258,"TGS400Z084",418,51.58449999999999,-29.61044444444444,19.309,19.247,0.1358,4,2,5.3
73261,104287,"TGS400Z099",418,51.46983333333333,-29.67608333333333,19.397,19.32,0.1479,4,1,10.0
73252,104278,"TGS400Z095",418,51.49137499999999,-29.65022222222222,19.092,19.014,0.1483,4,1,9.3
73266,104292,"TGS321Z285",418,51.445833333333326,-29.658777777777775,17.933,17.852,0.0907,3,1,8.7
73265,104291,"TGS400Z102",418,51.44987499999999,-29.650888888888886,19.364,19.281,0.1474,4,1,9.4
73260,104286,"TGS321Z284",418,51.474624999999996,-29.573138888888884,17.923,17.841,0.1363,4,1,8.7
73251,104277,"TGS400Z094",418,51.50266666666666,-29.55694444444444,16.552,16.476,0.0448,3,1,15.8
73320,104348,"TGS400Z139",418,51.214458333333326,-29.72819444444444,19.43,19.359,0.2224,4,1,8.2
73305,104332,"TGS400Z131",418,51.26370833333333,-29.674861111111106,19.168,19.092,,1,1,1.7
73361,104391,"TGS400Z168",418,51.06912499999999,-29.712777777777774,19.287,19.21,,1,1,1.1
73369,104401,"TGS400Z174",418,51.05416666666666,-29.66708333333333,19.364,19.285,0.0,5,1,15.9
73370,104402,"TGS400Z175",418,51.044124999999994,-29.67566666666666,19.266,19.187,0.2222,3,1,8.9
73309,104336,"TGS400Z134",418,51.230458333333324,-29.57783333333333,19.277,19.196,,1,2,1.7
73332,104361,"TGS321Z309",418,51.181458333333325,-29.519888888888886,18.208,18.122,0.0682,3,1,15.8
73283,104310,"TGS400Z118",418,51.34083333333333,-29.536888888888885,18.718,18.616,0.148,3,1,12.6
73293,104320,"TGS321Z291",418,51.294374999999995,-29.45661111111111,18.218,18.114,0.0892,4,1,27.0
73304,104331,"TGS321Z296",418,51.26062499999999,-29.44319444444444,19.135,19.033,0.0892,3,1,2.8
73303,104330,"TGS321Z295",418,51.267624999999995,-29.400888888888886,18.813,18.713,0.1374,3,2,4.8
73297,104324,"TGS321Z292",418,51.285458333333324,-29.355416666666663,18.771,18.676,0.1189,4,1,26.6
73140,104161,"TGS400Z032",418,51.97966666666666,-29.929611111111107,18.888,18.838,0.2317,3,1,6.2
73135,104156,"TGS400Z028",418,52.00229166666666,-29.922694444444442,19.331,19.284,0.0104,4,2,4.6
73143,104164,"TGS400Z034",418,51.96454166666666,-29.912916666666664,18.56,18.509,0.231,4,1,24.7
73108,104129,"TGS322Z320",418,52.17629166666666,-29.849638888888883,18.888,18.852,0.1395,4,1,8.0
73112,104133,"TGS401Z260",418,52.167249999999996,-29.795888888888886,19.222,19.188,0.2472,4,1,6.8
73116,104137,"TGS322Z322",418,52.13654166666666,-29.787999999999997,18.3,18.266,0.1925,4,2,7.2
73134,104155,"TGS400Z027",418,52.01545833333333,-29.806888888888885,19.016,18.976,0.1115,4,1,8.3
73139,104160,"TGS400Z031",418,51.984249999999996,-29.72983333333333,18.456,18.422,0.1771,4,1,10.7
73128,104149,"TGS322Z325",418,52.031458333333326,-29.677138888888884,18.813,18.785,0.1113,3,2,5.6
73088,104107,"TGS401Z256",418,52.279958333333326,-29.75280555555555,19.211,19.173,0.19,4,2,9.9
73079,104098,"TGS401Z250",418,52.32162499999999,-29.654888888888884,19.277,19.242,0.2764,4,1,5.2
73111,104132,"TGS322Z321",418,52.15658333333332,-29.55297222222222,18.856,18.82,0.1065,4,2,8.7
73097,104118,"TGS322Z315",418,52.24254166666666,-29.53366666666666,19.222,19.19,0.1351,4,2,4.3
73198,104220,"TGS400Z060",418,51.79037499999999,-29.699666666666662,19.277,19.228,0.1774,3,1,5.1
73205,104227,"TGS400Z064",418,51.743583333333326,-29.696138888888886,19.06,19.005,,1,3,5.6
73201,104223,"TGS322Z331",418,51.76033333333333,-29.672111111111107,19.397,19.347,0.1925,3,1,3.8
73191,104213,"TGS321Z259",418,51.82904166666666,-29.634972222222217,19.287,19.245,0.1082,4,2,5.0
73190,104212,"TGS321Z258",418,51.83245833333333,-29.621833333333328,19.375,19.334,,1,3,3.9
73194,104216,"TGS321Z261",418,51.80774999999999,-29.582916666666662,18.973,18.931,0.2014,3,1,6.0
73123,104144,"TGS322Z324",418,52.087333333333326,-29.442277777777775,16.625,16.596,0.0897,5,1,47.1
73159,104181,"TGS322Z327",418,51.946124999999995,-29.54397222222222,19.342,19.312,0.1783,3,1,5.5
73158,104180,"TGS321Z250",418,51.94212499999999,-29.444638888888885,17.883,17.851,0.1361,3,1,10.1
73165,104187,"TGS321Z251",418,51.92341666666666,-29.422611111111106,18.487,18.453,0.0139,3,2,7.6
73133,104154,"TGS321Z244",418,52.018499999999996,-29.418499999999995,18.352,18.322,0.1387,3,1,6.1
73068,104087,"TGS322Z308",418,52.367749999999994,-29.60105555555555,19.287,19.253,0.1509,4,2,9.5
73078,104097,"TGS322Z312",418,52.32620833333333,-29.568361111111106,18.963,18.93,0.0899,4,2,13.7
73064,104083,"TGS322Z307",418,52.389083333333325,-29.54408333333333,19.353,19.322,0.1351,4,1,16.2
73092,104112,"TGS322Z313",418,52.26237499999999,-29.46947222222222,18.414,18.383,0.1359,5,1,40.2
73063,104082,"TGS322Z306",418,52.39062499999999,-29.383666666666663,18.269,18.242,0.0665,4,2,7.2
73023,104041,"TGS322Z293",418,52.58158333333333,-29.38944444444444,18.877,18.847,-2.0E-4,4,1,30.5
72991,104009,"TGS323Z345",418,52.691624999999995,-29.305138888888884,18.126,18.097,0.1281,4,1,11.1
72999,104017,"TGS322Z286",418,52.67179166666666,-29.295027777777772,18.045,18.016,0.0591,4,1,30.4
73007,104025,"TGS322Z289",418,52.63504166666666,-29.313555555555553,18.497,18.467,0.1199,5,1,26.3
73047,104066,"TGS322Z300",418,52.48279166666666,-29.358777777777775,18.92,18.89,0.0607,4,2,13.7
73040,104058,"TGS322Z298",418,52.504999999999995,-29.295805555555553,19.06,19.03,0.1511,4,1,14.8
73053,104072,"TGS322Z302",418,52.46220833333333,-29.309166666666663,19.049,19.019,0.1666,4,1,18.6
73062,104081,"TGS322Z305",418,52.398333333333326,-29.313388888888884,18.941,18.914,0.1607,4,2,10.3
73104,104125,"TGS322Z318",418,52.199208333333324,-29.475499999999997,19.092,19.061,0.1383,3,1,18.4
73100,104121,"TGS322Z316",418,52.222624999999994,-29.46272222222222,18.3,18.269,0.136,4,1,22.2
73077,104096,"TGS322Z311",418,52.32645833333333,-29.310499999999998,19.342,19.316,0.2643,4,1,6.4
73107,104128,"TGS322Z319",418,52.18466666666666,-29.30408333333333,19.168,19.138,0.2196,4,1,8.2
73121,104142,"TGS322Z323",418,52.10437499999999,-29.311666666666664,16.625,16.597,0.0679,3,1,8.7
73091,104111,"TGS323Z350",418,52.27074999999999,-29.23955555555555,17.37,17.341,0.066,4,1,19.1
73115,104136,"TGS321Z240",418,52.139333333333326,-29.22269444444444,18.973,18.944,0.1199,4,2,5.2
73058,104077,"TGS322Z303",418,52.423916666666656,-29.259027777777774,18.686,18.655,0.188,4,1,6.4
73061,104080,"TGS322Z304",418,52.400791666666656,-29.166583333333328,18.995,18.96,0.236,4,1,11.3
73039,104057,"TGS322Z297",418,52.48841666666666,-29.188249999999996,18.952,18.916,0.0715,4,1,18.2
73033,104051,"TGS322Z296",418,52.52258333333332,-29.162499999999994,19.397,19.361,0.283,4,1,8.6
73038,104056,"TGS323Z349",418,52.489458333333324,-29.095499999999998,18.835,18.799,0.1101,3,2,5.9
71235,101931,"TGS322Z110",418,52.45329166666666,-29.07447222222222,18.393,18.36,0.0712,4,2,8.0
73076,104095,"TGS322Z310",418,52.322666666666656,-29.13219444444444,19.255,19.222,0.2353,4,2,11.0
71241,101937,"TGS323Z177",418,52.42770833333333,-29.060472222222216,17.954,17.921,0.0709,4,1,18.9
71269,101970,"TGS322Z122",418,52.32620833333333,-29.069611111111108,18.792,18.759,0.072,4,1,16.8
71277,101978,"TGS323Z185",418,52.31704166666666,-29.047694444444442,18.866,18.834,0.1793,4,1,15.4
73222,104246,"TGS400Z073",418,51.653499999999994,-29.599666666666664,19.331,19.276,0.1922,4,1,8.3
73204,104226,"TGS321Z264",418,51.73745833333333,-29.58519444444444,19.397,19.351,0.1892,4,1,13.1
73227,104251,"TGS400Z078",418,51.63949999999999,-29.595555555555553,19.441,19.385,0.1927,3,2,5.2
73216,104240,"TGS321Z270",418,51.709374999999994,-29.53894444444444,18.106,18.057,0.1374,3,1,10.9
73189,104211,"TGS322Z330",418,51.82762499999999,-29.49086111111111,18.76,18.724,0.1362,3,2,6.4
73235,104260,"TGS321Z273",418,51.569708333333324,-29.422138888888885,18.813,18.753,0.2022,4,1,21.5
73221,104245,"TGS322Z332",418,51.654958333333326,-29.434055555555553,18.197,18.148,0.086,4,1,16.6
73218,104242,"TGS321Z271",418,51.68333333333332,-29.414555555555552,19.375,19.329,0.1898,3,2,5.0
73188,104210,"TGS321Z257",418,51.82724999999999,-29.448638888888883,19.408,19.372,0.179,3,2,4.8
73167,104189,"TGS321Z252",418,51.91441666666666,-29.389749999999996,19.233,19.199,0.1607,3,1,4.6
73197,104219,"TGS321Z262",418,51.78795833333333,-29.39044444444444,18.92,18.883,0.2129,3,1,6.1
73170,104192,"TGS321Z253",418,51.883374999999994,-29.34769444444444,18.644,18.611,0.0756,3,1,4.5
73157,104179,"TGS321Z249",418,51.95295833333333,-29.34319444444444,18.197,18.166,0.2731,2,1,3.1
73138,104159,"TGS321Z245",418,51.996624999999995,-29.328888888888883,18.877,18.846,0.0665,5,2,6.3
73164,104186,"TGS322Z328",418,51.93962499999999,-29.29669444444444,19.277,19.245,0.1361,3,1,6.4
73156,104178,"TGS321Z248",418,51.943999999999996,-29.295111111111108,19.081,19.05,0.1386,2,1,5.0
73200,104222,"TGS321Z263",418,51.76295833333332,-29.31547222222222,19.092,19.056,0.1484,4,1,8.7
73175,104197,"TGS321Z254",418,51.86724999999999,-29.25844444444444,17.823,17.788,0.1474,4,1,8.2
73187,104209,"TGS322Z329",418,51.82874999999999,-29.24941666666666,18.984,18.947,0.1478,4,1,9.1
73182,104204,"TGS321Z255",418,51.85799999999999,-29.206416666666662,19.189,19.149,0.0668,3,3,2.6
73247,104272,"TGS321Z278",418,51.519166666666656,-29.46619444444444,19.06,18.987,0.1363,3,1,16.8
73264,104290,"TGS322Z335",418,51.44458333333333,-29.402111111111108,19.2,19.105,0.1363,3,1,4.8
73246,104271,"TGS321Z277",418,51.51199999999999,-29.370916666666663,18.963,18.884,0.1364,3,1,10.9
73237,104262,"TGS322Z333",418,51.56479166666666,-29.328527777777772,19.397,19.332,0.2212,3,1,6.0
73242,104267,"TGS321Z275",418,51.53833333333333,-29.31444444444444,19.441,19.37,0.1365,4,1,16.7
73278,104305,"TGS321Z286",418,51.37574999999999,-29.328499999999995,18.718,18.621,0.1506,4,1,14.0
73282,104309,"TGS321Z287",418,51.349083333333326,-29.33236111111111,18.665,18.571,0.2044,3,1,8.2
73259,104285,"TGS321Z283",418,51.475583333333326,-29.203944444444442,19.298,19.227,0.2521,4,1,17.5
73258,104284,"TGS321Z282",418,51.46574999999999,-29.185027777777773,18.3,18.232,0.136,4,1,30.5
73193,104215,"TGS321Z260",418,51.81716666666666,-29.161999999999995,19.016,18.973,0.0016,2,2,2.6
73212,104236,"TGS321Z267",418,51.73049999999999,-29.159361111111107,19.309,19.262,0.1348,3,1,12.3
71431,102143,"TGS322Z181",418,51.78370833333332,-29.093305555555553,18.728,18.68,0.0078,2,1,2.3
73211,104234,"TGS321Z265",418,51.727083333333326,-29.10058333333333,19.211,19.16,0.1168,4,1,16.4
