Num,Name,RAJ2000,DEJ2000,imag,z,f_z
20120387,"VVDS-J022758.93-044422.7",36.9955617,-4.7396492,24.3042,1.0126,21
20120618,"VVDS-J022758.54-044423.8",36.9939365,-4.7399492,22.617,1.137,1
20118060,"VVDS-J022754.12-044447.4",36.9755265,-4.7465123,22.6943,9.9999,20
20122370,"VVDS-J022759.90-044408.8",36.9995889,-4.7357952,23.8596,2.9242,1
20124362,"VVDS-J022800.80-044353.7",37.0033339,-4.7316037,23.8339,0.9531,2
20126037,"VVDS-J022803.14-044339.8",37.0130998,-4.7277358,23.9472,1.6849,1
20127171,"VVDS-J022756.98-044332.9",36.9874241,-4.725822,22.3513,0.9357,3
20135495,"VVDS-J022759.41-044243.5",36.9975827,-4.7121085,20.5385,0.2094,4
20118275,"VVDS-J022816.91-044449.1",37.0704968,-4.7469964,23.8592,9.9999,0
20116568,"VVDS-J022815.71-044456.6",37.0654773,-4.7490743,23.1262,0.47,2
20122975,"VVDS-J022814.47-044414.6",37.060328,-4.7373985,19.8847,0.6066,4
20122778,"VVDS-J022817.45-044410.4",37.0727376,-4.7362421,23.3994,0.3844,1
20123082,"VVDS-J022812.55-044403.9",37.0523088,-4.7344281,23.6104,1.5715,2
20122914,"VVDS-J022813.13-044405.5",37.0547411,-4.7348707,23.2087,0.6162,4
20123124,"VVDS-J022810.48-044404.0",37.0436902,-4.7344631,23.5465,0.4717,2
20124739,"VVDS-J022811.28-044354.2",37.0470071,-4.7317475,23.7576,0.1985,4
20131573,"VVDS-J022808.93-044258.2",37.0372359,-4.7161719,22.7681,0.804,4
20135003,"VVDS-J022811.85-044237.3",37.0493918,-4.7103664,20.5013,0.6422,4
20128469,"VVDS-J022816.16-044321.7",37.0673665,-4.7227042,23.0559,0.7898,3
20133734,"VVDS-J022815.59-044236.0",37.0649802,-4.7100004,23.9917,2.0395,1
20135225,"VVDS-J022816.85-044226.0",37.0702411,-4.7072369,22.3816,0.853,2
20132680,"VVDS-J022813.64-044247.2",37.0568633,-4.7131141,23.1533,0.1889,3
